한식,중식,일식,양식,아시안,패스트푸드,스낵/카페/디저트,금융,면세점(명품브랜드),면세점(향수/화장품),면세점(주류/담배),휴대폰로밍,가격대(만원),Label,거리(m),게이트거리(m),총거리(m),위도,경도,매장명,Sector
0,0,0,0,0,0,0,0,0,1,0,0,4.4,4,,510.4746902237716,,37.450454,126.455731,신세계면세점11(향수/화장품),6
0,0,0,0,0,0,0,0,1,0,0,0,106.0,0,,263.76544802602587,,37.451258,126.452209,SM면세점1(명품브랜드),5
0,0,0,0,0,0,0,0,0,1,0,0,4.2,4,,282.6578287254347,,37.451094,126.452265,SM면세점2(향수/화장품),5
0,0,0,0,0,0,0,0,0,0,1,0,3.0,5,,283.65436634443614,,37.451087,126.452276,SM면세점3(주류/담배),5
0,0,0,0,0,0,0,0,1,0,0,0,84.0,0,,566.6594367081519,,37.449504,126.447575,시티면세점1(명품브랜드),3
0,0,0,0,0,0,0,0,0,1,0,0,5.6,4,,588.8889853335132,,37.449106,126.447851,시티면세점2(향수/화장품),3
0,0,0,0,0,0,0,0,0,0,1,0,3.2,5,,588.1486804911832,,37.44917,126.447744,시티면세점3(주류/담배),3
0,0,0,0,0,0,0,0,0,1,0,0,4.7,4,,401.08488817882034,,37.44995,126.451577,그랜드면세점(향수/화장품),4
0,0,0,0,0,0,0,0,0,0,1,0,3.0,5,,449.5503568584883,,37.449596,126.450442,엔타스면세점(주류/담배),4
0,0,0,0,0,0,0,0,0,0,0,1,1.5,6,,445.0804590253206,,37.44956946,126.4510154,KT로밍센터1,1
0,0,0,0,0,0,0,0,0,0,0,1,1.4,6,,628.4458344338367,,37.44817793,126.4492795,KT로밍센터2,1
0,0,0,0,0,0,0,0,0,0,0,1,2.0,6,,537.9269404579303,,37.44887,126.449954,LG유플러스로밍센터1,1
0,0,0,0,0,0,0,0,0,0,0,1,1.5,6,,628.4458344338367,,37.44817793,126.4492795,SKT텔레콤,1
0,0,0,0,0,0,0,0,0,0,0,1,1.5,6,,527.4648567650306,,37.4489464,126.4500578,SK로밍센터1,1
0,0,0,0,0,0,0,0,0,0,0,1,1.3,6,,790.869336130073,,37.44681321,126.4486173,와이파이도시락,1
0,0,0,0,0,0,0,0,0,0,0,1,1.2,6,,401.1910906208393,,37.44998361,126.4521049,플레이와이파이,1
